AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2115:6329:90724	3865
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2205:1858:33873	3865
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2214:9700:21174	3866
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2215:17486:31272	3866
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2215:4527:44487	3866
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1112:4408:24536	3866
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1213:18402:5163	3867
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1216:15026:75065	3867
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1101:16155:50274	3867
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1202:7951:90558	3867
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1201:9119:74873	3869
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1203:13199:85770	3869
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1207:20088:92602	3869
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2213:9726:80042	3869
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1201:20216:53756	3869
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1109:2880:33052	3869
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2113:13055:24320	3869
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1102:1647:78582	3870
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1115:18456:7945	3873
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1103:13939:27205	3873
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2106:19143:59664	3874
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:1103:19851:35124	3876
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1104:12385:88497	3892
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2108:3691:63999	3892
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1112:20445:22878	3892
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2206:8213:67271	3892
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:1216:1169:43691	3892
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2208:16410:53204	3892
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:1:2210:20561:45805	3892
AT1G01060	37871	HWI-1KL168:41:H7GWJADXX:2:2204:11534:41675	3892
AT1G01070	41017	MISEQ:81:000000000-A0RAN:1:2106:20333:20366	3908
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2107:4457:47483	4040
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2202:16226:94619	4045
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2204:12030:59309	4045
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1103:19548:23959	4045
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1110:5203:75173	4045
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1106:12522:84357	4045
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2114:5293:30965	4050
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1104:15401:26902	4052
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1203:8232:4834	4052
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2202:12977:79501	4052
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1114:13197:25397	4055
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2201:20143:69262	4055
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1202:13063:27079	4057
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1109:15123:11291	4057
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1102:14232:8852	4062
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2111:5814:18942	4072
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1204:7715:78876	4076
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1111:15368:67136	4076
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1111:6480:99141	4080
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1208:13339:18579	4083
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1101:2900:46511	4087
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1101:7500:85028	4097
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2211:3149:74100	4097
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1208:14309:40369	4097
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2209:11807:72402	4104
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1103:10475:36849	4105
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2108:10899:81669	4105
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2113:2800:40710	4105
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1105:14008:77008	4105
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2201:7070:18652	4105
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1202:10983:22135	4105
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1203:15232:59347	4105
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2109:10704:29702	4128
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2213:14296:24288	4152
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2207:5067:93004	4187
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1202:16630:67138	4191
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1106:8209:89675	4194
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2211:20442:6699	4194
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2201:8874:25181	4194
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1213:5336:69090	4194
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1201:7399:83081	4194
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:1204:18959:47917	4194
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2110:1864:84937	4194
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2110:17707:61134	4217
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2112:5963:44150	4219
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2102:15554:88964	4221
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2205:14332:44431	4221
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:1:2106:19795:42828	4221
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1108:1577:31324	4223
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1204:18161:88608	4223
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2111:4499:12315	4223
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:2205:14109:4000	4223
AT1G01070	41017	HWI-1KL168:41:H7GWJADXX:2:1213:8309:46658	4229
AT1G12370	4208999	HWI-1KL168:41:H7GWJADXX:1:2108:14259:59411	4337
AT1G08785	425189	HWI-1KL168:41:H7GWJADXX:1:1104:11953:34870	4375
AT1G08785	425189	HWI-1KL168:41:H7GWJADXX:1:2110:15990:96715	4381
AT1G04003	43295	HWI-1KL168:41:H7GWJADXX:1:1203:11095:39015	4439
AT1G02230	436922	HWI-1KL168:41:H7GWJADXX:1:2113:5683:42472	4496
AT1G12820	4371298	HWI-1KL168:41:H7GWJADXX:1:1201:17159:72507	4501
AT1G02250	439559	HWI-1KL168:41:H7GWJADXX:1:2111:6757:68668	4513
AT1G02250	439559	HWI-1KL168:41:H7GWJADXX:1:2101:9252:66919	4514
AT1G12920	4398193	HWI-1KL168:41:H7GWJADXX:2:1107:10889:66259	4527
AT1G12920	4398193	HWI-1KL168:41:H7GWJADXX:2:1208:17537:6860	4528
AT1G02260	442972	HWI-1KL168:41:H7GWJADXX:1:1103:17332:30801	4546
AT1G02260	442972	HWI-1KL168:41:H7GWJADXX:1:1216:18974:67877	4546
AT1G02260	442972	HWI-1KL168:41:H7GWJADXX:2:2209:11316:16199	4548
AT1G02260	442972	HWI-1KL168:41:H7GWJADXX:2:1213:4350:4768	4548
AT1G02260	442972	HWI-1KL168:41:H7GWJADXX:1:1105:4238:13912	4548
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:1:1216:5802:31683	4564
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:1:2110:18918:5138	4581
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:1:1109:7201:27382	4581
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:2:2207:4179:40911	4581
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:2:1106:2074:40261	4583
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:2:2110:2090:32922	4583
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:1:1101:6688:79923	4583
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:1:1215:1434:28571	4583
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:1:1201:15203:59095	4587
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:2:1210:8603:45740	4587
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:1:1208:9035:13124	4587
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:2:1103:2876:88198	4588
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:2:2205:12736:12133	4588
AT1G02270	446296	HWI-1KL168:41:H7GWJADXX:2:1209:8847:10479	4588
AT1G13120	4473319	HWI-1KL168:41:H7GWJADXX:2:1212:8167:28316	4602
AT1G02280	450426	HWI-1KL168:41:H7GWJADXX:2:2212:11211:40311	4617
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:1204:5391:69493	4680
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:2211:7573:71595	4685
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:1209:12842:81058	4702
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:2211:4243:43007	4710
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:1113:17892:56960	4747
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:1108:7765:90115	4748
AT1G01080	47059	MISEQ:81:000000000-A0RAN:1:2107:12354:15323	4759
AT1G05033	4715063	MISEQ:81:000000000-A0RAN:1:1104:11235:7928	4774
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:2202:2060:43474	4813
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2104:4390:9956	4813
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:1203:6407:59599	4814
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2203:16680:11039	4814
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:1105:2389:53694	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:1210:16607:21604	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2213:2881:87279	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2209:6574:82269	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:1112:11628:15704	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2101:1442:90542	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:2102:20564:50578	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:1114:6850:28427	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:2210:2649:95529	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:1105:9224:21332	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:1209:8685:60002	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2201:19987:49780	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2209:9730:93342	4815
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2112:4128:23679	4816
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:1205:8965:80201	4816
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2208:2947:45229	4821
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:1109:2853:60058	4823
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:1109:7671:6573	4824
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2202:19839:59371	4827
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:1112:20338:42232	4827
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:2215:12440:29540	4827
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:2107:20488:30666	4832
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:2206:9721:64960	4832
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:1:2107:5536:91822	4832
AT1G01080	47059	HWI-1KL168:41:H7GWJADXX:2:1214:12674:81352	4835
AT1G04107	471498	HWI-1KL168:41:H7GWJADXX:1:2209:2884:13676	4842
AT1G04107	471498	HWI-1KL168:41:H7GWJADXX:2:1202:1335:12423	4842
AT1G04107	471498	HWI-1KL168:41:H7GWJADXX:2:2111:7712:29445	4842
AT1G04107	471498	HWI-1KL168:41:H7GWJADXX:2:2214:10416:88597	4842
AT1G04107	471498	HWI-1KL168:41:H7GWJADXX:1:1115:14873:91212	4842
AT1G04107	471498	HWI-1KL168:41:H7GWJADXX:1:1104:14440:50113	4842
AT1G04107	471498	HWI-1KL168:41:H7GWJADXX:1:2211:7361:77193	4842
AT1G04107	471498	HWI-1KL168:41:H7GWJADXX:2:1207:13560:34265	4842
AT1G05033	4715063	HWI-1KL168:41:H7GWJADXX:1:1108:10726:84226	4845
AT1G02360	473336	HWI-1KL168:41:H7GWJADXX:2:1103:6733:25708	4850
AT1G01090	49304	MISEQ:81:000000000-A0RAN:1:2113:11786:4835	4864
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2109:1285:73016	4867
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2105:18653:56080	4868
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2105:8033:26691	4868
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1209:20767:95960	4868
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1211:7505:77249	4868
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1109:5296:75642	4868
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2103:8420:70775	4868
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2112:19127:77924	4868
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1202:4194:96279	4873
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2206:16934:56673	4873
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1215:4113:60209	4873
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1207:10529:55066	4873
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1116:20136:28148	4882
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2101:17124:84454	4886
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1110:4905:46833	4889
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1102:3740:79538	4889
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1207:3974:48109	4889
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2204:13462:88956	4891
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1206:13463:30083	4899
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2211:2890:64687	4901
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2110:12273:27585	4901
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2210:4914:40581	4902
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2109:12391:82751	4902
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1115:19118:84676	4902
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2205:3744:16906	4902
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1116:5460:15552	4902
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2109:3630:41446	4902
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2208:5505:95708	4902
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1208:16816:19630	4903
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1206:16612:72763	4903
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2207:11741:94112	4903
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1201:20946:34512	4903
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1216:15391:58680	4904
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1208:15141:21778	4905
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2215:15957:96667	4905
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1104:13869:3157	4906
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1101:9565:36669	4916
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2208:8209:72285	4916
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1105:14966:88602	4916
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2105:6915:75800	4919
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2105:6906:77675	4919
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1206:12905:38636	4922
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2213:12982:39043	4922
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2111:3753:56773	4922
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1107:2699:37570	4923
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1103:16200:90230	4923
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1115:1245:46031	4923
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1202:18836:10966	4923
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1206:18345:37338	4940
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2105:4666:98596	4940
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2108:4794:87434	4943
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1108:14103:52078	4958
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2106:16056:13262	4958
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1112:13880:72572	4960
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1204:16943:68710	4960
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2215:12272:60210	4960
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2113:18764:54620	4960
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2208:21391:20105	4960
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1103:14756:53336	4960
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2213:15467:93977	4960
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2110:9289:17088	4960
AT1G01090	49304	MISEQ:81:000000000-A0RAN:1:1114:10525:7309	4966
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2214:12131:29526	4976
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2204:8655:21206	4979
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1202:8304:72761	4986
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1208:5124:74061	4986
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2107:18767:94068	4986
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1201:10458:11662	4986
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1211:17886:2129	4986
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2103:12128:26202	4986
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1213:9377:68140	4990
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1202:14202:15878	4990
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1204:13852:32376	4990
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1101:11746:67269	4990
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1112:12104:57494	4996
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2212:7174:12312	4999
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1212:11712:64950	5018
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2216:5984:94114	5018
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1101:13850:20009	5018
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2203:4268:54961	5019
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:2212:17409:37580	5020
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2114:12645:53357	5020
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1212:5842:60906	5020
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2106:3599:45273	5020
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2114:8830:86622	5020
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2204:2169:13974	5020
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1111:13793:42306	5037
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1101:15113:66310	5038
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2209:15495:55234	5038
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1206:16998:3955	5052
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:1213:13345:78386	5052
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:2:2110:9634:88613	5052
AT1G01090	49304	HWI-1KL168:41:H7GWJADXX:1:1214:7603:70118	5053
AT1G14420	4933662	HWI-1KL168:41:H7GWJADXX:2:1109:11933:30381	5062
AT1G14420	4933662	HWI-1KL168:41:H7GWJADXX:1:1112:6801:4348	5062
AT1G14440	4941332	HWI-1KL168:41:H7GWJADXX:1:1203:12347:72806	5070
AT1G02430	496332	HWI-1KL168:41:H7GWJADXX:2:1114:16944:91287	5086
AT1G02430	496332	HWI-1KL168:41:H7GWJADXX:1:2204:18313:20782	5086
AT1G01100	51210	MISEQ:81:000000000-A0RAN:1:2106:25393:15019	5088
AT1G02430	496332	HWI-1KL168:41:H7GWJADXX:2:1202:1296:28388	5091
AT1G02430	496332	HWI-1KL168:41:H7GWJADXX:1:1110:9958:54882	5091
AT1G02430	496332	HWI-1KL168:41:H7GWJADXX:2:1216:13854:96160	5091
AT1G02430	496332	HWI-1KL168:41:H7GWJADXX:1:1109:17260:96867	5091
AT1G02430	496332	HWI-1KL168:41:H7GWJADXX:2:1111:8966:74955	5091
AT1G02430	496332	HWI-1KL168:41:H7GWJADXX:1:2205:11673:17448	5091
AT1G02430	496332	HWI-1KL168:41:H7GWJADXX:2:2204:5862:87522	5091
